Project: Custom.Gravitate.ConfigurationApp,Package: AK.System.Linq.Dynamic, Version: 1.1.20.1
 Project: Custom.Gravitate.ConfigurationApp,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.ConfigurationApp,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.ConfigurationApp,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.ConfigurationApp,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.ConfigurationApp,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.ConfigurationApp,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.ConfigurationApp,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.ConfigurationApp,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.ConfigurationApp,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.ConfigurationApp,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.ConfigurationApp,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.ConfigurationApp,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.ConfigurationApp,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.ConfigurationApp,Package: Gravitate.DevUtilities, Version: 5.8.2
 Project: Custom.Gravitate.ConfigurationApp,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.ConfigurationApp,Package: iTextSharp, Version: 5.5.12
 Project: Custom.Gravitate.ConfigurationApp,Package: log4net, Version: 2.0.8
 Project: Custom.Gravitate.ConfigurationApp,Package: Microsoft.CSharp, Version: 4.4.1
 Project: Custom.Gravitate.ConfigurationApp,Package: Microsoft.IdentityModel, Version: 6.1.7600.16394
 Project: Custom.Gravitate.ConfigurationApp,Package: Microsoft.IdentityModel.JsonWebTokens, Version: 5.3.0
 Project: Custom.Gravitate.ConfigurationApp,Package: Microsoft.IdentityModel.Logging, Version: 5.3.0
 Project: Custom.Gravitate.ConfigurationApp,Package: Microsoft.IdentityModel.Tokens, Version: 5.3.0
 Project: Custom.Gravitate.ConfigurationApp,Package: morelinq, Version: 3.1.1
 Project: Custom.Gravitate.ConfigurationApp,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.ConfigurationApp,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.ConfigurationApp,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.ConfigurationApp,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.ConfigurationApp,Package: SpreadsheetLight, Version: 3.4.9
 Project: Custom.Gravitate.ConfigurationApp,Package: System.IdentityModel.Tokens.Jwt, Version: 5.3.0
 Project: Custom.Gravitate.ConfigurationApp,Package: System.Runtime.InteropServices.RuntimeInformation, Version: 4.3.0
 Project: Custom.Gravitate.ConfigurationApp,Package: System.ValueTuple, Version: 4.4.0
 Project: Custom.Gravitate.ConfigurationApp,Package: TimeZoneConverter, Version: 2.3.0
 Project: Custom.Gravitate.ConfigurationApp,Package: TimeZoneNames, Version: 3.3.0
 Project: Custom.Gravitate.DemandForecast,Package: AK.System.Linq.Dynamic, Version: 1.1.20.1
 Project: Custom.Gravitate.DemandForecast,Package: AngleSharp, Version: 0.9.11
 Project: Custom.Gravitate.DemandForecast,Package: BouncyCastle, Version: 1.8.1
 Project: Custom.Gravitate.DemandForecast,Package: Box.V2, Version: 3.9.0
 Project: Custom.Gravitate.DemandForecast,Package: Castle.Core, Version: 4.2.1
 Project: Custom.Gravitate.DemandForecast,Package: Castle.WcfIntegrationFacility, Version: 4.1.0
 Project: Custom.Gravitate.DemandForecast,Package: Castle.Windsor, Version: 4.1.0
 Project: Custom.Gravitate.DemandForecast,Package: Castle.Windsor.Lifestyles, Version: 0.4.0
 Project: Custom.Gravitate.DemandForecast,Package: Common.Logging, Version: 3.4.1
 Project: Custom.Gravitate.DemandForecast,Package: Common.Logging.Core, Version: 3.4.1
 Project: Custom.Gravitate.DemandForecast,Package: Flee, Version: 1.2.2
 Project: Custom.Gravitate.DemandForecast,Package: FluentValidationNA, Version: 1.2.16
 Project: Custom.Gravitate.DemandForecast,Package: GenericParser, Version: 1.1.6
 Project: Custom.Gravitate.DemandForecast,Package: Gravitate.Core, Version: 5.8.2
 Project: Custom.Gravitate.DemandForecast,Package: HtmlSanitizer, Version: 4.0.217
 Project: Custom.Gravitate.DemandForecast,Package: iTextSharp, Version: 5.5.12
