Project: Custom.Gravitate.ConfigurationApp,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Gravitate.ConfigurationApp,Package: Gravitate.DevUtilities, Version: 5.8.1
 Project: Custom.Gravitate.ConfigurationApp,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.ConfigurationApp,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.ConfigurationApp,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.DemandForecast,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Gravitate.DemandForecast,Package: Microsoft.AspNet.Mvc, Version: 5.2.6
 Project: Custom.Gravitate.DemandForecast,Package: Microsoft.AspNet.Razor, Version: 3.2.6
 Project: Custom.Gravitate.DemandForecast,Package: Microsoft.AspNet.WebPages, Version: 3.2.6
 Project: Custom.Gravitate.DemandForecast,Package: Microsoft.Web.Infrastructure, Version: 1.0.0
 Project: Custom.Gravitate.DemandForecast,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.DemandForecast,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.DemandForecast,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.Domain.Adapter.DAL,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.JSON,Package: Newtonsoft.Json, Version: 12.0.3
 Project: Custom.Gravitate.Library,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Gravitate.Library,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.Library,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.Library,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.Notification,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Gravitate.Notification,Package: Gravitate.Quartz.Server, Version: 5.8.1
 Project: Custom.Gravitate.Notification,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.Notification,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.Notification,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.Notification,Package: WinSCP, Version: 5.11.3
 Project: Custom.Gravitate.WCF,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Gravitate.WCF,Package: Gravitate.Quartz.Server, Version: 5.8.1
 Project: Custom.Gravitate.WCF,Package: RestSharp, Version: 106.11.7
 Project: Custom.Gravitate.WCF,Package: SD.LLBLGen.Pro.DQE.SqlServer, Version: 5.5.1
 Project: Custom.Gravitate.WCF,Package: SD.LLBLGen.Pro.ORMSupportClasses, Version: 5.5.1
 Project: Custom.Gravitate.WCF,Package: WinSCP, Version: 5.11.3
 Project: Custom.Gravitate.WebAPI,Package: Antlr, Version: 3.5.0.2
 Project: Custom.Gravitate.WebAPI,Package: bootstrap, Version: 3.4.1
 Project: Custom.Gravitate.WebAPI,Package: Gravitate.Core, Version: 5.8.1
 Project: Custom.Gravitate.WebAPI,Package: Gravitate.WebApi, Version: 5.8.1
 Project: Custom.Gravitate.WebAPI,Package: jQuery, Version: 3.4.1
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Mvc, Version: 5.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Razor, Version: 3.2.7
 Project: Custom.Gravitate.WebAPI,Package: Microsoft.AspNet.Web.Optimization, Version: 1.1.3
